12424_P_0	12424_P_5	12424_P_10	12424_P_15	12424_P_20	12424_P_30	12424_P_45	12424_P_60
YFR053C	0	0.251589064305395	0.28219074906681	0.48390435295422	0.844280382133949	1.04943753578797	1.00836747847309	0.819447731891892
YER015W	0	1.21745382380975	1.35386230772423	0.670259897601537	0.844780706540289	0.782137303019728	1.21235296058796	1.34161104877088
YKR004C	0	-1.23281327158545	-1.28770992937784	-1.00132383067929	-1.03842405986693	-1.0236300106501	-1.07716412296804	-1.42327221781007
YCR041W	0	-0.303741473423736	-0.290726033453734	-0.0449943368944968	-2.78399475466941	-2.78813142964231	-2.79769249878439	-2.80728915216216
YOL052C-A	0	-0.784617599292328	-1.19009455783036	-0.572553272448479	-0.328710194710705	-0.737993353619055	-0.423841393274673	-0.962060886325418
YAR075W	0	-0.123771383641612	1.11778222665542	-0.257809323752733	-0.137780616725587	1.12308233237907	1.25934880400846	1.29363444163593
YMR303C	0	-0.18465388121321	-0.149056822307637	-0.0592005654154861	0.934017905165589	0.0260508460533191	1.04947634839558	0.203296403594375
YDR343C	0	0.32296961667321	0.239830322912496	0.427791729746598	1.19199735463319	1.73548223573407	2.07436781403361	1.93709352898802
YER014C-A	0	-0.00355325738445579	-1.35281891397747	-0.000769054236596393	0.00391236480686011	-0.000224310166038849	-0.00978537930812679	-0.0193820326858904
YLR030W	0	-0.281846931898707	-0.0275512269366989	-1.20265303005187	0.583701428892099	-0.0763022559025944	-1.35378065572496	-0.203355015987656
YCR097W-A	0	-0.223741473423736	-0.330726033453734	-0.0749943368944966	-2.52399475466941	-2.52813142964231	-2.53769249878439	-0.135056162471437
YDR536W	0	-2.11421956575481	-2.0082919973466	-1.75625123155006	-1.74807313146153	-1.80247143039967	-1.82747968886332	-2.03514159158089
YBL106C	0	1.34324492198421	1.06203798213888	1.16429090777219	0.25774399772326	0.464829920449534	1.09871465612334	2.47622780286033
YJL161W	0	0.336258526576264	0.109273966546266	0.445005663105503	-1.30399475466941	-1.30813142964231	-1.3176924987844	-1.32728915216216
YMR085W	0	-0.00355325738445579	-0.00202480836960596	-0.000769054236596393	0.00391236480686011	1.83267798274865	-0.00978537930812679	-0.0193820326858904
YJL188C	0	-0.527550956079784	-1.20772232110405	-0.441999436363322	-0.647536062847947	-1.08082411478647	-0.895128108758382	-0.861858946516634
YDR342C	0	0.347740666260852	0.289321159831915	0.442453290172316	1.30875494003555	1.89088905024497	2.19224475603392	2.02218276100199
YDR013W	0	-1.91146037686072	-1.90993192784587	-1.90867617371286	-1.90399475466941	-1.90813142964231	-1.9176924987844	-1.92728915216216
YDR216W	0	1.56783444230892	0.744954308073601	2.7354276599072	-1.78503222877971	1.4626840435907	0.255786272802037	0.788686630076312
YBR210W	0	-0.199232009477099	-0.364608525879672	-1.14909303808079	-0.100640533799852	-0.177261380119549	-0.234052825633237	-0.157872592716588
YFR015C	0	0.681138718539243	0.398007293609104	0.580727798224847	1.27499815764811	1.2178521277309	0.934019498267596	0.817476440797771
YHL024W	0	-0.00355325738445579	1.43718108602253	-0.000769054236596393	0.00391236480686011	-0.000224310166038849	-0.00978537930812679	-0.0193820326858904
YDL222C	0	-0.446220877851118	-0.993184418793509	-0.321169337090247	-0.508159964726296	0.457474065493247	-0.319819155631205	2.85012314219868
YOR177C	0	0.381753086968781	1.40885629368038	0.366368015485237	0.277803972829531	0.30985094092376	0.31477480889312	0.347801412759151
YDL233W	0	1.49393257318371	1.64383680089979	1.10277267384588	0.729466332953485	0.46207950801447	0.18744885852792	1.12015604869153
YDL048C	0	3.45433662475059	3.18471505450982	3.03976410221495	0.105316418657178	0.179479257104942	0.19398242051594	0.49293951899414
YNL093W	0	-0.554459095550049	-0.275209523493638	-1.2392501008034	-1.68191555287353	0.213173542202108	-1.32240371118996	0.842508775806406
YAL028W	0	1.3759779963975	0.139031177181847	-0.459925927011151	0.540866779506155	0.510344330091499	1.91565476929825	1.11955317981907
YER067W	0	0.471902058752857	0.141353515070979	0.458905403609797	1.29000363316733	1.12893644929842	1.10607080044299	0.594604878302076
YHR127W	0	0.305470919106949	0.313066586084491	-0.037710397762043	1.33983858790677	1.24142910305509	1.17663282862587	0.493145737965873
YOR143C	0	-1.38515863360221	-1.32414130289631	-1.32537363962876	0.296895397319433	0.294242538451922	0.55820445454758	0.509197506295754
YGR237C	0	1.34609348282807	1.1898649422362	0.140405779870895	0.181153488584746	0.322457582280956	0.669626716790226	0.786987412671035
YDR477W	0	1.53718420433101	4.16142845892273	4.92377690830731	5.17164351592764	5.53233767992756	5.45939999910078	5.20652889783649
YOR004W	0	-1.42818826511506	-1.42125797419493	-1.22098120883429	-1.14406228203823	-1.07509769230355	-0.801181159239511	-0.85557695585869
YML095C	0	-1.99227667361519	-1.89238072209743	-1.65482895889985	-1.64685287814419	-1.69834733209004	-1.72246313543948	-1.91868189849965
YNL145W	0	0.105423494951042	0.281115817943341	2.86702339272439	0.542652980884857	2.95545766416624	2.78698318824178	0.064644360227341
YOR323C	0	0.105419348413893	0.132916084820885	1.49130164540706	0.0373115616607221	-0.115237827320066	-0.32956799892382	-0.336476928999787
YNL014W	0	-0.10497803896467	-0.878590617997058	-3.21765065358285	-3.30360700037671	0.637177795390514	-0.349513747837456	0.271927231765213
YLR162W	0	-0.32829612099352	-1.08907770773195	-0.287623892991063	-0.552971681386266	-1.05735262474758	-0.842335155418941	-0.735506976514699
Q0105	0	-1.90025279735256	-2.94436219466007	-0.17986128835855	-3.71663096249313	-3.40383922131621	-2.63786609840401	-4.1912331522523
