X12424_P_0	X12424_P_5	X12424_P_10	X12424_P_15	X12424_P_20	X12424_P_30	X12424_P_45	X12424_P_60	X12416_P_0	X12416_P_5	X12416_P_10	X12416_P_15	X12416_P_20	X12416_P_30	X12416_P_45	X12416_P_60	X12424_C_0	X12424_C_5	X12424_C_10	X12424_C_15	X12424_C_20	X12424_C_30	X12424_C_45	X12424_C_60	X12416_C_0	X12416_C_5	X12416_C_10	X12416_C_15	X12416_C_20	X12416_C_30	X12416_C_45	X12416_C_60
0	-0.2	-0.23	-0.0800000000000001	-0.21	-0.19	-0.16	0.02	0	-0.02	0.14	0.01	0.07	0.05	-0.07	0.13	0	0.0099999999999999	-0.04	-0.0800000000000001	-0.04	-0.0800000000000001	-0.0900000000000001	-0.05	0	-0.09	-0.09	-0.04	0.09	-0.08	0.1	0.28
0	-0.13	-0.28	-0.13	-0.23	-0.05	0.0399999999999999	-0.02	0	-0.01	-0.08	-0.03	0.0399999999999999	-0.02	-0.0600000000000001	-0.02	0	-0.06	-0.19	-0.15	-0.11	0	0.0599999999999999	0.02	0	-0.32	-0.45	-0.3	-0.05	-0.1	-0.07	-0.26
0	0.16	-0.04	0.12	0.02	0.22	0.2	-0.17	0	0.28	0.1	0.15	0.17	0.19	0.03	-0.25	0	-0.0599999999999999	-0.0599999999999999	-0.01	0.13	0.22	0.21	0.16	0	-0.29	-0.3	-0.04	-0.14	-0.0700000000000001	-0.09	-0.6
0	0.11	0.12	0.2	0.32	0.35	0.42	0.32	0	0.28	0.45	0.32	0.35	0.32	0.28	0.44	0	-0.25	-0.68	-1.17	-1.35	-1.25	-1.45	-1.69	0	-0.3	-0.76	-1.37	-1.91	-2.81	-2.82	-2.61
0	-0.14	-0.25	-0.17	-0.29	-0.26	-0.34	-0.4	0	0.05	-0.03	-0.13	-0.04	-0.04	-0.12	-0.02	0	-0.0499999999999999	-0.21	-0.18	-0.19	0.05	0.05	0.1	0	-0.27	-0.39	-0.4	-0.17	-0.11	-0.04	0.07
0	-0.29	-0.45	-0.26	-0.25	-0.26	-0.06	-0.02	0	-0.04	-0.14	0.04	-0.07	-0.11	-0.03	-0.06	0	0.07	-0.13	-0.11	0.03	0.03	0.01	-0.04	0	-0.1	-0.19	-0.09	0.02	-0.15	-0.12	-0.1
0	0.01	-0.12	0	-0.05	-0.03	0.02	-0.02	0	0.03	-0.03	0.02	0.03	-0.04	0.01	0.21	0	0.04	0.07	0.07	0.2	0.18	0.32	0.35	0	-0.02	0.03	0.02	0.15	0.17	0.32	0.46
0	0.14	0	0.18	0.14	0.08	0.04	0.2	0	0.28	0.25	0.2	0.18	0.18	0.27	0.51	0	-0.09	0.06	-0.03	-0.02	0.02	0.03	0.06	0	0.07	0.02	-0.01	-0.06	0.03	0.03	0.13
0	0	-0.04	-0.11	0.02	-0.16	-0.49	-0.81	0	-0.12	-0.26	-0.06	-0.06	0.19	-0.13	-0.48	0	0.49	0.9	0.69	0.27	0.2	-0.42	-0.68	0	0.89	1.08	1.09	0.75	0.97	0.44	-0.13
0	-0.01	0.1	-0.05	-0.08	0.12	0.32	0.17	0	-0.01	0.11	-0.09	0.08	0.16	0.17	0.34	0	-0.21	-0.25	-0.12	-0.03	0.03	0.18	-0.00999999999999998	0	-0.4	-0.3	-0.33	-0.06	-0.03	-0.01	0.14
0	0.28	0.42	0.31	0.25	0.29	0.0700000000000001	0.03	0	0.04	0.1	0.13	0.15	-0.0199999999999998	0.0700000000000001	-0.0699999999999998	0	-0.17	-0.49	-0.52	-0.13	-0.03	-0.17	-0.19	0	-0.14	-0.45	-0.47	-0.54	-0.55	-0.58	-0.56
0	0.37	0.39	0.3	0.16	0.42	0.44	0.28	0	0.34	0.37	0.34	0.32	0.43	0.29	0.29	0	-0.1	-0.0500000000000003	0.13	0.32	0.66	0.63	0.54	0	-0.35	-0.15	-0.0199999999999996	0.35	0.53	0.44	0.31
0	-0.03	0.0499999999999998	0.15	0.12	0.13	0.12	0.22	0	0.11	0.28	0.24	0.26	0.18	0.0900000000000001	0.12	0	-0.16	-0.54	-0.59	-0.53	-0.5	-0.56	-0.59	0	-0.3	-0.45	-0.42	-0.36	-0.45	-0.38	-0.28
0	-0.03	0.03	0.04	-0.05	0.14	0.2	0.24	0	0.1	0.06	0.00999999999999995	0.13	0.06	0.1	-0.06	0	-0.34	-0.76	-0.6	-0.41	-0.25	-0.33	-0.27	0	-0.58	-0.6	-0.68	-0.56	-0.57	-0.33	-0.38
0	0.47	0.54	0.56	0.58	0.589999999999999	0.35	0.25	0	0.56	0.51	0.45	0.39	0.29	0.13	0.1	0	-1.5	-2.54	-1.74	-0.88	-0.68	-1.21	-1.36	0	-1.86	-2.56	-2.62	-2.62	-2.47	-2.19	-2.26
0	-0.04	-0.04	-0.08	-0.16	-0.13	-0.23	-0.32	0	0.07	0.11	-0.09	-0.12	-0.08	-0.09	-0.16	0	0.03	0.18	0.32	0.32	0.31	0.31	0.31	0	-0.03	0.01	0.19	0.32	0.34	0.27	0.33
0	0.3	0.42	0.37	0.46	0.45	0.28	0.45	0	-0.08	0.01	0.13	-0.06	-0.11	0.12	0.28	0	-0.28	-0.32	-0.28	-0.01	0.48	0.53	0.57	0	0.01	-0.04	0.08	0.16	0.55	0.68	0.8
0	-0.42	-0.41	-0.34	-0.54	-0.38	-0.23	-0.34	0	-0.06	-0.2	-0.24	-0.1	-0.25	-0.24	-0.51	0	0.04	-0.07	0.01	0.13	0.18	0.43	0.48	0	-0.41	-0.23	-0.2	0.04	0.05	0.37	0.39
0	-0.04	-0.23	-0.31	-0.21	-0.23	0.0600000000000001	-0.27	0	-0.13	-0.11	-0.02	0.15	0.04	0.0600000000000001	-0.28	0	-0.03	0.05	0.02	0.14	0.39	0.0600000000000001	-0.11	0	-0.28	-0.35	-0.01	0.0799999999999998	0.0399999999999998	0.19	-0.0900000000000001
0	-0.13	0.01	0.02	-0.05	0.14	0.17	0.31	0	-0.13	-0.14	-0.2	-0.05	0.01	0.09	0.41	0	0.45	0.5	-0.0900000000000001	-0.22	0.04	0.56	0.53	0	0.47	0.68	-0.0600000000000001	-0.22	0.34	0.94	0.76
0	-0.06	0.05	-0.06	-0.06	0.05	0.06	-0.18	0	-0.16	-0.17	-0.16	-0.09	0.01	-0.13	-0.46	0	-0.49	-0.35	-0.46	-0.51	-0.42	-0.41	-0.39	0	-0.77	-0.59	-0.59	-0.68	-0.64	-0.6	-0.9
